NODE_INDEX,SITEID,MOD_CELL_ID,CELLNAME,SITENAME,SITE_TYPE,REGION,KABUPATEN,KECAMATAN,LAC_TAC,ENODEB_ID,GNB_ID,RNC_ID,LONGITUDE,LATITUDE,TECHNOLOGY,BAND,ANTENNA_MODEL,ANTENNA_HEIGHT,AZIMUTH,AZIMUTH_SIN,AZIMUTH_COS,MT,ET,HORIZONTAL_BEAM_WIDTH,VENDOR,FLAG_PROCESS,FLAG_PULL,RET_NONRET,DATE,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,CELL_CSFB_RATE,CELL_PINGPONG_RATE,SETUP_FAIL_CALL_FLAG,OUT_HO_SUM,OUT_EDGE_COUNT,OUT_NEIGHBOR_COUNT,IN_HO_SUM,IN_EDGE_COUNT,IN_NEIGHBOR_COUNT,HO_TOTAL,OUT_IN_RATIO
11,SiteID_7,ModCell_12,Cell_12,SiteName_7,Macro,Region_1,District_1,SubDistrict_1,1004,50006,,,61.699442,8.993691,4G,2300.0,ASI4518R10v06,45.3,277.0,-0.992546151641322,0.12186934340514768,6.0,8.0,90,HUAWEI,F,P,RET,2025-09-14,82807,11,0,73,0,82891,0.998986620984184,0.0001327043949282,0.0,-90.3031639319744,-104.29029846191406,-77.6666030883789,-11.810669441127422,38.03823651551128,74.6666030883789,4150.959358966206,1516.9356777990731,50899428.84030347,5083870.5247999225,876156122.0,0.0008806746208876,10569.978912065242,0,35205.0,142.0,142.0,23849.0,182.0,182.0,59054.0,1.4761425576519915
12,SiteID_7,ModCell_13,Cell_13,SiteName_7,Macro,Region_1,District_1,SubDistrict_1,1004,50006,,,61.699442,8.993691,4G,1800.0,ASI4518R10v06,45.3,97.0,0.9925461516413221,-0.12186934340514737,4.0,6.0,90,HUAWEI,F,P,RET,2025-09-14,355158,54,0,728,0,355940,0.9978030005057033,0.0001517109625217,0.0,-94.65506993208184,-109.0,-79.27269744873047,-13.920684535741712,58.08889766000579,96.0,5053.205529355631,1997.8591923783752,331675973.32395065,34509781.126503564,2608496968.0,0.002045288531775,7328.473810192729,0,60843.0,611.0,611.0,224324.0,345.0,345.0,285167.0,0.2712314721943608
13,SiteID_8,ModCell_14,Cell_14,SiteName_8,Massive MIMO,Region_1,District_1,SubDistrict_5,1000,50007,,,61.64853,9.006914,4G,2300.0,ASI4518R10v06,36.0,257.0,-0.9743700647852351,-0.22495105434386525,2.0,6.0,90,HUAWEI,F,P,RET,2025-09-14,361061,262,0,544,0,361867,0.9977726623317408,0.0007240229144962,0.0,-94.90027654928906,-102.87090301513672,-85.6666030883789,-12.63911589435572,74.21420537468325,96.0,1949.120140435022,1254.7404782106007,491017657.3003693,49503757.20413412,13357625315.0,0.0015033147537631,36913.07943249868,0,83238.0,208.0,208.0,69988.0,241.0,241.0,153226.0,1.1893154638586063
14,SiteID_8,ModCell_15,Cell_15,SiteName_8,Massive MIMO,Region_1,District_1,SubDistrict_5,1000,50007,,,61.64853,9.006914,4G,2300.0,ASI4518R10v06,36.0,17.0,0.29237170472273677,0.9563047559630354,2.0,6.0,90,HUAWEI,F,P,RET,2025-09-14,227948,338,0,380,0,228666,0.9968600491546624,0.0014781384202286,0.0,-91.27851222393946,-102.8332977294922,-78.6666030883789,-11.135941406520104,50.61283520876304,80.0,2433.3245203982315,1271.4327763072192,271810497.75591296,28335428.844401438,8931021569.0,0.0016618124251091,39057.05950600439,0,39505.0,258.0,258.0,38583.0,215.0,215.0,78088.0,1.0238959154053493
15,SiteID_9,ModCell_16,Cell_16,SiteName_9,Six Sector,Region_1,District_1,SubDistrict_6,1003,50008,,,61.677073,8.910172,4G,1800.0,AMB4520R0,39.8,82.0,0.9902680687415704,0.13917310096006547,4.0,4.0,90,HUAWEI,F,P,RET,2025-09-14,222477,27,0,259,0,222763,0.998716124311488,0.0001212050475168,0.0,-90.76255355686116,-101.375,-79.88880157470703,-11.214789361193366,73.50704064283883,96.0,3999.109260925836,1591.9011430003336,247132451.72653607,27081861.407200687,4528276819.0,0.0011626706409951,20327.77803764539,0,71025.0,82.0,82.0,15982.0,75.0,75.0,87007.0,4.443846586998686
16,SiteID_10,ModCell_17,Cell_17,SiteName_10,Macro,Region_1,District_1,SubDistrict_1,1004,50009,,,61.704561000000005,8.978019,4G,1800.0,K742352,40.6,252.0,-0.9510565162951535,-0.30901699437494756,0.0,6.0,65,HUAWEI,F,P,RET,2025-09-14,84326,32,0,178,0,84536,0.9975158512349768,0.0003785369546701,0.0,-91.86301119469464,-103.6666030883789,-79.75,-9.696151169224429,55.416574110223294,91.1999969482422,3810.896253964445,1217.7625507021237,97685238.29000798,12968991.631100347,3073048063.0,0.0021056118103529,36351.94547884925,0,23134.0,427.0,427.0,37725.0,412.0,412.0,60859.0,0.6132375550018555
17,SiteID_11,ModCell_18,Cell_18,SiteName_11,Macro,Region_1,District_1,SubDistrict_5,1000,50010,,,61.654191000000004,9.020861,4G,1800.0,APE4517R0v06,15.7,137.0,0.6819983600624986,-0.7313537016191705,3.0,6.0,65,HUAWEI,F,P,RET,2025-09-14,233010,17,0,280,0,233307,0.9987269991899086,7.286536623418928e-05,0.0,-94.32525277298502,-104.0,-84.625,-11.794257014835416,49.27491811898064,82.6666030883789,4966.993342979785,1522.10868553075,236935893.14302284,20465540.880001124,6409635151.0,0.0012001354438572,27472.965453244007,0,19564.0,79.0,79.0,26020.0,90.0,90.0,45584.0,0.7518927020483456
18,SiteID_11,ModCell_19,Cell_19,SiteName_11,Macro,Region_1,District_1,SubDistrict_5,1000,50010,,,61.654191000000004,9.020861,4G,1800.0,APE4517R0v06,15.7,267.0,-0.9986295347545738,-0.052335956242944306,3.0,6.0,65,HUAWEI,F,P,RET,2025-09-14,249951,33,0,319,0,250303,0.9985937044302304,0.0001318402096658,0.0,-90.7912571832446,-100.8000030517578,-80.0,-12.665764930249662,40.46072199913493,80.0,5231.21274267448,1552.9751007660848,251022895.67022243,21574624.663701408,6796155077.0,0.0012744553601035,27151.71243253177,0,20963.0,94.0,94.0,21442.0,90.0,90.0,42405.0,0.977661707783426
19,SiteID_12,ModCell_20,Cell_20,SiteName_12,Macro,Region_1,District_1,SubDistrict_5,1000,50011,,,61.66356100000001,9.012909,4G,1800.0,K80010123,48.9,267.0,-0.9986295347545738,-0.052335956242944306,2.0,3.0,65,HUAWEI,F,P,RET,2025-09-14,129592,27,0,239,0,129858,0.9979516086802508,0.0002079194196737,0.0,-90.28112520157586,-101.88880157470705,-77.57140350341797,-12.552454110306638,49.4967484606888,80.0,5140.628939143296,1590.2998190294588,136930258.57121277,11611804.545700325,1694115408.0,0.0018404719000754,13045.907129325878,0,24450.0,76.0,76.0,10604.0,58.0,58.0,35054.0,2.3056105610561057
20,SiteID_12,ModCell_21,Cell_21,SiteName_12,Macro,Region_1,District_1,SubDistrict_5,1000,50011,,,61.66356100000001,9.012909,4G,2100.0,ASI4518R42v06,48.9,267.0,-0.9986295347545738,-0.052335956242944306,3.0,0.0,60,HUAWEI,F,P,RET,2025-09-14,219270,47,0,353,0,219670,0.9981790868120364,0.0002139572995857,0.0,-91.39537469470822,-102.3332977294922,-79.83689880371094,-10.537167311620989,51.0876230235894,82.6666030883789,5251.267765337974,1553.871626658615,291369905.6973032,27388452.534001723,3042742376.0,0.001606955888378,13851.424300086494,0,39558.0,134.0,134.0,33239.0,123.0,123.0,72797.0,1.1901022864019255
21,SiteID_12,ModCell_22,Cell_22,SiteName_12,Macro,Region_1,District_1,SubDistrict_5,1000,50011,,,61.66356100000001,9.012909,4G,900.0,ASI4518R42v06,48.9,97.0,0.9925461516413221,-0.12186934340514737,3.0,0.0,120,HUAWEI,F,P,RET,2025-09-14,27077,11,0,93,0,27181,0.9961737978735146,0.0004046944556859,0.0,-98.49432350395313,-109.6666030883789,-84.30000305175781,-12.829745238069655,62.19624631120029,96.0,6034.182925883215,1133.5670144149267,49539284.0302014,4428262.747799944,400002761.0,0.0034215076707994,14716.263603252271,0,3176.0,55.0,55.0,42603.0,66.0,66.0,45779.0,0.0745704628673364
22,SiteID_12,ModCell_23,Cell_23,SiteName_12,Macro,Region_1,District_1,SubDistrict_5,1000,50011,,,61.66356100000001,9.012909,4G,900.0,ASI4518R42v06,48.9,267.0,-0.9986295347545738,-0.052335956242944306,3.0,0.0,120,HUAWEI,F,P,RET,2025-09-14,23749,18,0,115,0,23882,0.9944309521815592,0.0007537057197889,0.0,-88.31545076832661,-104.9229965209961,-77.05549621582031,-11.282749105544058,45.14353531372739,80.0,7533.630885840254,1531.5400857206832,49270128.76710106,3297279.983599935,320360973.0,0.0048153420986517,13414.327652625409,0,2912.0,56.0,56.0,29804.0,75.0,75.0,32716.0,0.097735279315551
23,SiteID_13,ModCell_24,Cell_24,SiteName_13,Macro,Region_1,District_1,SubDistrict_1,1003,50012,,,61.703567,8.938469000000001,4G,1800.0,APE4516R1v06,39.8,47.0,0.7313537016191705,0.6819983600624985,1.0,4.0,120,HUAWEI,F,P,RET,2025-09-14,154555,30,0,318,0,154903,0.9977534327934257,0.0001936695867736,0.0,-95.09769303587366,-106.9166030883789,-82.4000015258789,-9.704865891841877,44.96071278695951,80.0,2550.696536846437,1336.6876653418408,131878037.13843106,13970012.725598795,4835791935.0,0.0020528976198007,31218.19419249466,0,22369.0,206.0,206.0,15977.0,197.0,197.0,38346.0,1.400050068844661
24,SiteID_13,ModCell_25,Cell_25,SiteName_13,Macro,Region_1,District_1,SubDistrict_1,1003,50012,,,61.703567,8.938469000000001,4G,2100.0,APE4516R1v06,39.8,47.0,0.7313537016191705,0.6819983600624985,1.0,3.0,120,HUAWEI,F,P,RET,2025-09-14,56443,23,0,86,0,56552,0.9980725703777056,0.0004067053331447,0.0,-93.43338002752492,-103.8332977294922,-82.84609985351562,-10.209950800907633,34.692686656372246,73.5999984741211,3282.485318479632,1389.445087606414,86793660.46520582,8987216.064999962,981799002.0,0.0015207242891498,17360.995225633047,0,9843.0,218.0,218.0,8570.0,180.0,180.0,18413.0,1.1485240928713103
