SRC_CELL_ID,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE
147002_11,203578,33,0,216,3,-96.576810518598,-106.75,-83.0,-13.20676623084843,43.32527838507531,69.33329772949219,4547.842340700965,1496.009097995519,184957922.3575203,20116219.16100142,6019026043,203830,0.9987636756120296,0.0001618996222342148,0.0
147002_12,118765,157,0,252,0,-103.807838898125,-112.0,-95.69999694824219,-11.85550488608137,57.74230196938638,82.6666030883789,3279.636712970404,781.9132665763306,122351777.4592154,14887244.44670048,3388153937,119174,0.9965680433651636,0.001317401446624264,0.0
147002_13,183659,21,0,238,0,-91.50618984476824,-105.1181030273438,-76.47820281982422,-12.14934599213543,29.8013371336923,64.0,5995.202710281013,1654.726464470883,154626365.1455152,25825481.86970021,5321659780,183918,0.9985917637207886,0.0001141813199360585,0.0
147002_14,14546,7,0,11,0,-96.07242093011594,-104.8000030517578,-84.625,-12.34878049791268,48.45979827060756,80.0,3521.404207998482,1354.22124729184,16008915.32370002,3316802.15529996,402290173,14564,0.9987640758033507,0.0004806371875858281,0.0
147002_15,60,0,0,0,0,-100.3465348561605,-102.8793029785156,-98.5,-10.10025669733683,22.82930313646794,80.6666030883789,3608.443851515151,1303.204805882353,43880.44259999999,2710.4634,2986945,60,1.0,0.0,0.0
147002_21,86576,24,0,282,0,-95.52224903629617,-106.0,-84.0,-12.93548482709304,37.12302326681593,64.0,4338.972755482166,1526.195255272951,88226317.64290738,8208380.591400158,2447184921,86882,0.9964779816302571,0.0002762367348817937,0.0
147002_22,84027,71,0,132,0,-102.1914511868892,-111.2306976318359,-93.4000015258789,-10.92692689650503,48.00445278003051,64.0,3714.621168552002,843.6867337968152,82646687.03450464,7926257.906600034,2430887687,84230,0.9975899323281491,0.0008429300724207528,0.0
147002_23,472808,133,0,561,0,-94.38870020996822,-105.7406997680664,-82.84609985351562,-11.15759990519791,37.86677990686379,64.0,4278.904522876392,1787.68412605803,276217398.1712989,38958634.6584126,13502318332,473502,0.9985343250926079,0.0002808858251918683,0.0
147002_24,7195,107,0,10,0,-102.868858285232,-122.0,-88.04759979248047,-11.54177959253543,41.50726347080349,65.19999694824219,5054.455530366235,1267.174770564877,13197001.10700005,835800.2061999952,206514856,7312,0.9839989059080962,0.01463347921225383,0.0
147002_31,236421,67,0,4438,0,-89.71381606130039,-102.0,-76.80819702148438,-14.008103939324,33.33970587861126,69.33329772949219,5020.958545816784,1866.998175227283,197134212.1526188,22139502.4367018,6781419910,240926,0.9813013124361837,0.0002780936885184662,0.0
147002_32,62142,82,0,292,0,-104.6991834807086,-113.8571014404297,-94.36840057373047,-12.0087535299551,58.29829571445831,88.0,3341.220150864189,957.6714915397181,85393302.66470647,8924406.9667001,1831410936,62516,0.994017531511933,0.001311664213961226,0.0
147002_33,415940,115,0,873,0,-90.43873265601329,-105.0,-75.5625,-12.38241461264089,30.12820288824106,64.0,5267.305460455413,1993.15799364907,289848316.8868215,41437610.75071423,11309716500,416928,0.9976302862844424,0.0002758270013047816,0.0
147002_34,14814,7,0,43,0,-92.95240354948588,-103.3332977294922,-81.80000305175781,-13.3288886904139,46.18521611702387,80.0,3324.628562503014,1416.216185795101,13544026.66290005,1235139.466899983,428708324,14864,0.9966361679224973,0.0004709364908503768,0.0
147002_35,649,1,0,0,0,-97.6975573847844,-103.4383010864258,-90.5,-13.74644152714656,80.74742934648381,96.0,3347.82368372093,1411.484466887419,786828.0117000004,71512.82260000006,24092741,650,0.9984615384615385,0.001538461538461538,0.0
147002_41,533,0,0,0,0,-91.5367292794233,-104.7893981933594,-76.0,-14.91269004367306,35.68124955635357,70.85710144042969,4195.55293928572,1824.475461992618,368813.6825000001,38839.95169999999,18658556,533,1.0,0.0,0.0
147002_43,1026,0,0,4,0,-87.01921077098662,-100.4000015258789,-75.38880157470703,-13.2137791091956,26.95177881031185,56.0,4205.580830283229,1975.748317829458,661198.6574000003,65202.58150000007,34311158,1030,0.996116504854369,0.0,0.0
147002_44,6653,3,0,6,0,-98.35538112247573,-105.048698425293,-89.81439971923828,-12.32777310885026,53.17337764353287,80.0,3511.688404997261,1227.590403166942,8085444.027499986,665152.1770000007,175951742,6662,0.9986490543380366,0.0004503152206544581,0.0
147002_51,9,0,0,0,0,-97.24288686116536,-110.9499969482422,-83.125,-15.5116221110026,62.7607782151964,82.42420196533203,6418.6993,4963.550216666667,35569.32289999999,17845.5417,337458,9,1.0,0.0,0.0
147002_54,5087,0,0,10,0,-98.4619617458416,-105.4284973144531,-87.75,-12.42241839761942,46.61331701998295,80.0,3845.015862515957,1428.481944577152,8445664.179299997,869028.8853999976,138697975,5097,0.9980380616048656,0.0,0.0
147002_61,116,0,0,0,0,-98.58746554933745,-108.125,-91.26920318603516,-15.56386203601443,58.51611296883945,84.0,4801.031290163934,2051.83642295082,92722.24409999998,4806.3801,4092649,116,1.0,0.0,0.0
147002_63,1,0,0,0,0,-81.97660064697266,-81.97660064697266,-81.97660064697266,-15.30939960479736,24.35820007324219,24.35820007324219,33124.9829,4769.2629,7610.4648,1458.2021,15696,1,1.0,0.0,0.0
147002_64,17515,10,0,32,0,-92.44726313915666,-103.1071014404297,-79.56659698486328,-13.20430664940943,43.16471428818782,80.0,3394.233750258786,1353.511488890872,9641273.684600016,1057270.582899987,464503634,17557,0.9976077917639687,0.0005695733895312411,0.0
147002_65,25,0,0,0,0,-91.09524444580079,-100.3293991088867,-79.55259704589844,-13.93639583587646,62.41763187408447,96.0,2714.818847058824,1964.494823529412,1206.284299999999,365.1429,1200857,25,1.0,0.0,0.0
147002_84,42,0,0,0,0,-94.7628811427525,-102.9227981567383,-85.36299896240234,-14.59200945354643,68.5873681975574,94.0,4684.16171,1779.17825,22652.39220000001,9450.7105,1140237,42,1.0,0.0,0.0
147003_11,191872,168,0,323,0,-93.40346265302344,-104.4024963378906,-80.84839630126953,-12.88625740782964,46.40064944246672,83.19999694824219,4605.455713126456,1625.684752914395,151029355.184626,18538298.06830081,4129236563,192363,0.997447534089196,0.0008733488248779651,0.0
147003_12,58098,212,0,138,0,-100.6254540665196,-111.3377990722656,-87.0,-12.13923350341216,50.37262842265905,85.33329772949219,3718.487950152212,1088.763806161644,69414395.30820417,7598883.500200046,1205290130,58448,0.9940117711470025,0.003627155762387079,0.0
147003_13,486054,275,0,685,3,-91.48175495659272,-101.6234970092773,-79.67639923095703,-12.57430335738636,39.81616487789339,80.0,4900.830942274313,1895.841831761237,311018052.9881638,39319624.90220733,10025322642,487017,0.9980226562933121,0.0005646620138516725,0.0
147003_14,130387,283,0,169,0,-91.3062327129567,-104.8332977294922,-76.6895980834961,-11.20811495631777,29.04725694587707,64.0,4252.800223994567,1334.261701725016,111597939.672714,15085805.26970054,2871076982,130839,0.9965453725571122,0.002162963642339058,0.0
147003_15,1,0,0,0,0,-87.21620178222656,-87.21620178222656,-87.21620178222656,-13.30280017852783,57.05659866333008,57.05659866333008,584.6745,364.589,123.8779,104.1357,41496,1,1.0,0.0,0.0
